https://www.hkengage.gov.hk/zh-CN/how-to-apply-for-a-visa/admission-scheme-matching-tool-institutions/
全球百強大學綜合名單 (排名不分先後)
大學名稱	國家/地區
Universidad de Buenos Aires (UBA)	Argentina / 阿根廷
Australian National University	Australia / 澳洲
Monash University	Australia / 澳洲
University of Adelaide	Australia / 澳洲
University of Melbourne	Australia / 澳洲
University of New South Wales	Australia / 澳洲
University of Queensland	Australia / 澳洲
University of Sydney	Australia / 澳洲
University of Western Australia	Australia / 澳洲
Ghent University	Belgium / 比利時
KU Leuven	Belgium / 比利時
Durham University	UK / 英國
Imperial College London	UK / 英國
King's College London	UK / 英國
London School of Economics and Political Science	UK / 英國
London School of Hygiene and Tropical Medicine	UK / 英國
University College London	UK / 英國
University of Birmingham	UK / 英國
University of Bristol	UK / 英國
University of Cambridge	UK / 英國
University of Edinburgh	UK / 英國
University of Glasgow	UK / 英國
University of Leeds	UK / 英國
University of Manchester	UK / 英國
University of Nottingham	UK / 英國
University of Oxford	UK / 英國
University of Sheffield	UK / 英國
University of Southampton	UK / 英國
University of St Andrews	UK / 英國
University of Warwick	UK / 英國
McGill University	Canada / 加拿大
McMaster University	Canada / 加拿大
University of Alberta	Canada / 加拿大
University of British Columbia	Canada / 加拿大
University of Montreal	Canada / 加拿大
University of Toronto	Canada / 加拿大
Aarhus University	Denmark / 丹麥
Technical University of Denmark	Denmark / 丹麥
University of Copenhagen	Denmark / 丹麥
University of Helsinki	Finland / 芬蘭
Ecole Normale Superieure - Paris	France / 法國
Ecole Polytechnique	France / 法國
Institut Polytechnique de Paris	France / 法國
Sorbonne University	France / 法國
Université Grenoble Alpes	France / 法國
Université Paris Cité (formerly Université de Paris)	France / 法國
Université Paris-Saclay	France / 法國
Université PSL	France / 法國
Universite Sorbonne Paris Cite-USPC	France / 法國
University of Paris-Sud (Paris 11)	France / 法國
Charité - Universitätsmedizin Berlin	Germany / 德國
Freie Universität Berlin	Germany / 德國
Heidelberg University	Germany / 德國
Humboldt-Universität zu Berlin	Germany / 德國
Ludwig-Maximilians-Universität München	Germany / 德國
RWTH Aachen University	Germany / 德國
Technical University of Munich	Germany / 德國
University of Bonn	Germany / 德國
University of Freiburg	Germany / 德國
University of Goettingen	Germany / 德國
University of Tübingen	Germany / 德國
The Chinese University of Hong Kong / 香港中文大學	Hong Kong SAR / 香港特別行政區
City University of Hong Kong / 香港城市大學	Hong Kong SAR / 香港特別行政區
The Hong Kong Polytechnic University / 香港理工大學	Hong Kong SAR / 香港特別行政區
The Hong Kong University of Science and Technology / 香港科技大學	Hong Kong SAR / 香港特別行政區
The University of Hong Kong / 香港大學	Hong Kong SAR / 香港特別行政區
Trinity College Dublin, The University of Dublin	Ireland / 愛爾蘭
Hebrew University of Jerusalem	Israel / 以色列
Technion-Israel Institute of Technology	Israel / 以色列
Weizmann Institute of Science	Israel / 以色列
Kyoto University	Japan / 日本
Nagoya University	Japan / 日本
Osaka University	Japan / 日本
Tohoku University	Japan / 日本
Tokyo Institute of Technology (Tokyo Tech)	Japan / 日本
University of Tokyo	Japan / 日本
Korea Advanced Institute of Science and Technology (KAIST)	South Korea / 韓國
Korea University	South Korea / 韓國
Pohang University of Science And Technology (POSTECH)	South Korea / 韓國
Seoul National University	South Korea / 韓國
Sungkyunkwan University (SKKU)	South Korea / 韓國
Yonsei University	South Korea / 韓國
Fudan University / 復旦大學	Mainland China / 中國內地
Huazhong University of Science and Technology / 華中科技大學	Mainland China / 中國內地
Nanjing University / 南京大學	Mainland China / 中國內地
Peking University / 北京大學	Mainland China / 中國內地
Shanghai Jiao Tong University / 上海交通大學	Mainland China / 中國內地
Sun Yat-sen University / 中山大學	Mainland China / 中國內地
Tsinghua University / 清華大學	Mainland China / 中國內地
University of Science and Technology of China / 中國科學技術大學	Mainland China / 中國內地
Zhejiang University / 浙江大學	Mainland China / 中國內地
Universiti Malaya (UM)	Malaysia / 馬來西亞
Universidad Nacional Autónoma de México (UNAM)	Mexico / 墨西哥
Delft University of Technology	Netherlands / 荷蘭
Eindhoven University of Technology	Netherlands / 荷蘭
Erasmus University Rotterdam	Netherlands / 荷蘭
Leiden University	Netherlands / 荷蘭
Radboud University	Netherlands / 荷蘭
University of Amsterdam	Netherlands / 荷蘭
University of Groningen	Netherlands / 荷蘭
Utrecht University	Netherlands / 荷蘭
Vrije Universiteit Amsterdam	Netherlands / 荷蘭
Wageningen University & Research	Netherlands / 荷蘭
University of Auckland	New Zealand / 紐西蘭
University of Oslo	Norway / 挪威
Lomonosov Moscow State University	Russia / 俄羅斯
King Abdulaziz University	Saudi Arabia / 沙特阿拉伯
King Abdullah University of Science and Technology	Saudi Arabia / 沙特阿拉伯
Nanyang Technological University, Singapore	Singapore / 新加坡
National University of Singapore	Singapore / 新加坡
University of Barcelona	Spain / 西班牙
Karolinska Institute	Sweden / 瑞典
KTH Royal Institute of Technology	Sweden / 瑞典
Lund University	Sweden / 瑞典
Stockholm University	Sweden / 瑞典
Uppsala University	Sweden / 瑞典
École Polytechnique Fédérale de Lausanne	Switzerland / 瑞士
ETH Zurich - Swiss Federal Institute of Technology	Switzerland / 瑞士
University of Basel	Switzerland / 瑞士
University of Bern	Switzerland / 瑞士
University of Geneva	Switzerland / 瑞士
University of Zurich	Switzerland / 瑞士
National Taiwan University (NTU) / 國立台灣大學	Taiwan / 台灣
Boston University	USA / 美國
Brown University	USA / 美國
California Institute of Technology	USA / 美國
Carnegie Mellon University	USA / 美國
Columbia University	USA / 美國
Cornell University	USA / 美國
Dartmouth College	USA / 美國
Duke University	USA / 美國
Emory University	USA / 美國
Georgia Institute of Technology	USA / 美國
Harvard University	USA / 美國
Icahn School of Medicine at Mount Sinai	USA / 美國
Johns Hopkins University	USA / 美國
Massachusetts Institute of Technology	USA / 美國
Mayo Clinic Alix School of Medicine	USA / 美國
Michigan State University	USA / 美國
New York University	USA / 美國
Northwestern University	USA / 美國
Ohio State University--Columbus	USA / 美國
Pennsylvania State University	USA / 美國
Princeton University	USA / 美國
Purdue University - West Lafayette	USA / 美國
Rice University	USA / 美國
Rockefeller University	USA / 美國
Stanford University	USA / 美國
University of Arizona	USA / 美國
University of California, Berkeley	USA / 美國
University of California, Davis	USA / 美國
University of California, Irvine	USA / 美國
University of California, Los Angeles	USA / 美國
University of California, San Diego	USA / 美國
University of California, San Francisco	USA / 美國
University of California, Santa Barbara	USA / 美國
University of California, Santa Cruz	USA / 美國
University of Chicago	USA / 美國
University of Colorado--Boulder	USA / 美國
University of Florida	USA / 美國
University of Illinois at Urbana-Champaign	USA / 美國
University of Maryland, College Park	USA / 美國
University of Michigan-Ann Arbor	USA / 美國
University of Minnesota--Twin Cities	USA / 美國
University of North Carolina--Chapel Hill	USA / 美國
University of Pennsylvania	USA / 美國
University of Pittsburgh	USA / 美國
University of Southern California	USA / 美國
University of Texas at Austin	USA / 美國
University of Texas M. D. Anderson Cancer Center	USA / 美國
University of Texas Southwestern Medical Center at Dallas	USA / 美國
University of Washington	USA / 美國
University of Wisconsin-Madison	USA / 美國
Vanderbilt University	USA / 美國
Washington University in St. Louis	USA / 美國
Yale University	USA / 美國
關閉
